https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1609398000000,2020-12-31 07:00:00,XRP/USDT,0.21288000,0.22000000,0.21288000,0.21711000,56993970.10000000,12367504.11331500,22714
1609394400000,2020-12-31 06:00:00,XRP/USDT,0.21126000,0.21477000,0.21011000,0.21289000,31044235.10000000,6611629.92170300,14144
1609390800000,2020-12-31 05:00:00,XRP/USDT,0.21501000,0.21599000,0.21052000,0.21128000,55299483.40000000,11817538.22167900,19435
1609387200000,2020-12-31 04:00:00,XRP/USDT,0.21474000,0.21767000,0.21178000,0.21501000,43913297.10000000,9423316.24188200,19166
1609383600000,2020-12-31 03:00:00,XRP/USDT,0.21787000,0.21787000,0.21321000,0.21469000,53321223.40000000,11475710.14911500,20626
1609380000000,2020-12-31 02:00:00,XRP/USDT,0.21168000,0.21926000,0.21078000,0.21783000,70649971.20000000,15201551.35900000,28251
1609376400000,2020-12-31 01:00:00,XRP/USDT,0.21077000,0.21285000,0.20521000,0.21162000,72002968.30000000,15019706.31074500,28378
1609372800000,2020-12-31 00:00:00,XRP/USDT,0.21133000,0.21542000,0.20745000,0.21082000,52144055.60000000,11022438.67115000,19398
1609369200000,2020-12-30 23:00:00,XRP/USDT,0.21394000,0.21647000,0.20805000,0.21138000,65101452.20000000,13765149.17116800,25071
1609365600000,2020-12-30 22:00:00,XRP/USDT,0.20882000,0.22050000,0.20797000,0.21400000,85741256.00000000,18404753.52118300,31379
1609362000000,2020-12-30 21:00:00,XRP/USDT,0.20868000,0.21110000,0.20488000,0.20883000,71521307.00000000,14881369.41746500,29517
1609358400000,2020-12-30 20:00:00,XRP/USDT,0.21426000,0.21487000,0.19950000,0.20864000,189400752.40000000,38739302.02799800,79188
1609354800000,2020-12-30 19:00:00,XRP/USDT,0.21623000,0.21700000,0.20816000,0.21422000,93954968.80000000,19962045.59124500,33216
1609351200000,2020-12-30 18:00:00,XRP/USDT,0.21981000,0.22100000,0.21078000,0.21625000,81644379.90000000,17572131.61348800,29044
1609347600000,2020-12-30 17:00:00,XRP/USDT,0.22281000,0.22542000,0.21457000,0.21980000,97938374.60000000,21491464.75891000,43175
