https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1601848800000,2020-10-04 22:00:00,ADA/USDT,0.09682000,0.09755000,0.09668000,0.09752000,6395673.50000000,621152.65814300,1378
1601845200000,2020-10-04 21:00:00,ADA/USDT,0.09694000,0.09732000,0.09661000,0.09680000,4930817.90000000,478038.82983700,1301
1601841600000,2020-10-04 20:00:00,ADA/USDT,0.09760000,0.09804000,0.09667000,0.09696000,10309926.40000000,1002734.25229700,2252
1601838000000,2020-10-04 19:00:00,ADA/USDT,0.09619000,0.09796000,0.09619000,0.09759000,17341157.80000000,1684892.48751700,3627
1601834400000,2020-10-04 18:00:00,ADA/USDT,0.09574000,0.09630000,0.09565000,0.09619000,7162458.60000000,687286.73859100,1651
1601830800000,2020-10-04 17:00:00,ADA/USDT,0.09513000,0.09598000,0.09499000,0.09578000,6793656.70000000,648636.95901900,1589
1601827200000,2020-10-04 16:00:00,ADA/USDT,0.09455000,0.09522000,0.09420000,0.09510000,4965532.80000000,471103.08065000,1022
1601823600000,2020-10-04 15:00:00,ADA/USDT,0.09532000,0.09542000,0.09453000,0.09457000,4825636.00000000,458047.42005000,1150
1601820000000,2020-10-04 14:00:00,ADA/USDT,0.09561000,0.09632000,0.09502000,0.09531000,10070934.60000000,962652.79412300,1955
1601816400000,2020-10-04 13:00:00,ADA/USDT,0.09435000,0.09586000,0.09435000,0.09556000,17698448.70000000,1684561.89730900,3244
1601812800000,2020-10-04 12:00:00,ADA/USDT,0.09409000,0.09440000,0.09321000,0.09433000,6512189.00000000,610996.84070200,1570
1601809200000,2020-10-04 11:00:00,ADA/USDT,0.09395000,0.09424000,0.09366000,0.09408000,4673105.70000000,438960.24125300,1152
1601805600000,2020-10-04 10:00:00,ADA/USDT,0.09381000,0.09403000,0.09343000,0.09395000,4138722.70000000,388071.15607700,1191
1601802000000,2020-10-04 09:00:00,ADA/USDT,0.09469000,0.09480000,0.09376000,0.09382000,5399841.20000000,508913.05742000,1150
1601798400000,2020-10-04 08:00:00,ADA/USDT,0.09382000,0.09500000,0.09382000,0.09470000,11352876.90000000,1073586.13624900,2590
1601794800000,2020-10-04 07:00:00,ADA/USDT,0.09371000,0.09401000,0.09358000,0.09383000,3985827.60000000,373950.49682000,1120
1601791200000,2020-10-04 06:00:00,ADA/USDT,0.09271000,0.09394000,0.09255000,0.09368000,7640574.60000000,713234.67040900,2017
1601787600000,2020-10-04 05:00:00,ADA/USDT,0.09286000,0.09306000,0.09241000,0.09268000,6066329.80000000,562812.82219700,1084
1601784000000,2020-10-04 04:00:00,ADA/USDT,0.09256000,0.09301000,0.09254000,0.09281000,2306620.10000000,213982.00488300,792
1601780400000,2020-10-04 03:00:00,ADA/USDT,0.09279000,0.09309000,0.09239000,0.09255000,5114753.00000000,474251.97692500,953
1601776800000,2020-10-04 02:00:00,ADA/USDT,0.09285000,0.09307000,0.09205000,0.09279000,8342390.10000000,771800.08490600,1707
1601773200000,2020-10-04 01:00:00,ADA/USDT,0.09372000,0.09384000,0.09249000,0.09286000,6502153.90000000,604554.12870600,1783
1601769600000,2020-10-04 00:00:00,ADA/USDT,0.09332000,0.09396000,0.09296000,0.09374000,3696763.40000000,345752.88172700,1019
1601766000000,2020-10-03 23:00:00,ADA/USDT,0.09359000,0.09375000,0.09313000,0.09328000,4133667.50000000,386476.46977900,961
